name	country	gender	birthdate	competition_years	first	last
Arturo SARFRON	CUB	M	None	None	None	None	None
Mac CODY	CAN	M	None	None	None	None	None
Claude SAUNDERS	CAN	M	None	None	None	None	None
Thomas SCHAEFER	CAN	M	None	None	None	None	None
Pantelis PALAIOPANOS	GRE	M	None	None	None	None	None
Felipe GOMEZ BALLESTEROS	MEX	M	14 Mar 1959	1959	None	None	None
Juiana COLEA	ROU	W	25 Apr 1977	1977	None	None	None
Mario MARTINEZ	ESP	M	None	None	None	None	None
Steven NORTHCROFT	RSA	M	None	None	None	None	None
KOZNYENKO	RUS	M	None	None	None	None	None
Hans LYCKLAMA	NED	M	None	None	1980,1979,1978,1977,1974	1974	1980
Christine MCLAREN	AUS	W	None	None	None	None	None
Milton FRANCIS	AUS	M	18 May 1932	1932	None	None	None
Louaer MANSOURI	ALG	M	8 Apr 1975	1975	None	None	None
Neville KEMPTON	AUS	M	None	None	1982	1982	1982
Raymond BENOIT	FRA	M	None	None	None	None	None
M. VAN DEURSEN	NED	M	None	None	None	None	None
Dmitrij PTITCHEV	RUS	M	None	None	None	None	None
Peter CVOLIGA	CZE	M	None	None	None	None	None
Meghan THOMAS	CAN	W	1 Jul 1985	1985	2006,2003	2003	2006
Svein MONSEN	NOR	M	None	None	None	None	None
Anna-Marie DE ZWAGER	CAN	W	17 Sep 1976	1976	2008,2007,2007,2006,2005,2004,2004,2004,2003	2003	2008
Krista STEWART	CAN	W	20 Feb 1972	1972	2003	2003	2003
Kevin BURT	CAN	M	8 Jul 1974	1974	2003	2003	2003
Geoff HODGSON	CAN	M	11 Apr 1979	1979	2003	2003	2003
Rafael MORA RAMIREZ	COL	M	3 Dec 1976	1976	2006,2006,2003,2003	2003	2006
Luis CRUZ VENEREO	CUB	M	29 Jun 1978	1978	2003	2003	2003
Roslyn PAPA	NZL	W	16 Oct 1975	1975	2003	2003	2003
Nicola COONEY	NZL	W	27 May 1978	1978	2003	2003	2003
Grant CARROLL	NZL	M	23 May 1979	1979	2003	2003	2003
James BARRETT	NZL	M	15 Nov 1986	1986	2003	2003	2003
Camelia MIHALCEA	ROU	W	1 Mar 1968	1968	2004,2004,2004,2003	2003	2004
Magdalena IRINCU	ROU	W	3 May 1977	1977	2003,2003	2003	2003
Sanna STEN	FIN	W	20 May 1977	1977	2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004,2004,2003	2003	2010
Shams HEBY	EGY	M	21 Jan 1969	1969	2003,2003,2003,2001,2001,2001,2001	2001	2003
Vincent FAUCHEUX	FRA	M	29 Jan 1982	1982	2017,2017,2011,2011,2011,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2005,2005,2004,2003,2003	2003	2017
Nicolas MAJERUS	FRA	M	15 Nov 1982	1982	2005,2004,2003	2003	2005
Ferdinando NOVELLA	ITA	M	20 Sep 1985	1985	2005	2005	2005
Jenil KRISHNAN	IND	M	25 May 1977	1977	2010,2009,2009,2007,2003	2003	2010
Saji THOMAS	IND	M	10 May 1977	1977	2010,2007,2005,2003	2003	2010
Ratheesh DEVI BALAN	IND	M	6 Mar 1977	1977	2003	2003	2003
Elbison THAMPI	IND	M	6 May 1981	1981	2003	2003	2003
Narayan RATHORE	IND	M	1 Jan 1980	1980	2005,2003	2003	2005
Roshan LAL	IND	M	5 May 1972	1972	2003	2003	2003
Sunil KAKDE	IND	M	2 Oct 1981	1981	2003	2003	2003
Harish CHAHAR	IND	M	17 Jun 1984	1984	2003	2003	2003
Mikhail GARNIK	KAZ	M	23 Jan 1974	1974	2009,2003	2003	2009
Amine ZERDALI	MAR	M	18 Oct 1979	1979	2005	2005	2005
Mikael NIELSSON	SWE	M	22 Dec 1977	1977	2003	2003	2003
Serob ANDREASYAN	ARM	M	17 Dec 1975	1975	2004,2004,2003	2003	2004
Xiaoxia YAN	CHN	W	19 Oct 1984	1984	2013,2012,2012,2011,2011,2011,2008,2008,2007,2007,2007,2006,2006,2006,2004,2004,2003	2003	2013
Chunlu WANG	CHN	W	28 Mar 1987	1987	None	None	None
Ziwei JIN	CHN	W	17 Oct 1985	1985	2012,2012,2012,2011,2011,2010,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2004,2004	2004	2012
Jun TIAN	CHN	M	1 Jan 1982	1982	2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2004,2003	2003	2008
De'an NI	CHN	M	16 Dec 1985	1985	2003	2003	2003
De Fa LI	CHN	M	18 Apr 1981	1981	2003	2003	2003
Zhongbao LIU	CHN	M	16 Dec 1985	1985	2003	2003	2003
Xiangdang WANG	CHN	M	5 Apr 1983	1983	2010,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2003	2003	2010
Hao XU	CHN	M	28 Apr 1986	1986	None	None	None
Katharina VON KODOLITSCH	GER	W	2 Jul 1970	1970	2006	2006	2006
