name	country	gender	birthdate	birthyear	competition_years	first	last	results
Robert SERVEL	FRA	M	5 Sep 1964	1964	1985	1985	1985	FA Final,4,BM4+
Andrew SERVICE	AUS	M	27 Jan 1977	1977	1995	1995	1995	FB Final,1,JM2-
David SERVOS	CAN	M	None	None	1996	1996	1996	FC Final,3,JM1x
Pietro SESSA	ITA	M	None	None	None	None	NoneNone
Jolana SETLIKOVA	CZE	W	None	None	1989	1989	1989	F Final,3,JW8+
K. SEUSER	GER	W	None	None	None	None	NoneNone
Hubert SEVELA	CZE	M	None	None	1985;1983	1983	1985	FA Final,6,M8+;FA Final,6,M8+
Wayne SEVERIN	RSA	M	None	None	1994;1994	1994	1994	FA Final,10,BM8+;FB Final,4,BM8+
Roman SEVOSTYANOV	RUS	M	None	None	1994	1994	1994	FB Final,3,JM4x
Juergen SEYFARTH	GER	M	20 Jul 1962	1962	1983;1982;1981;1980;1979	1979	1983	FA Final,2,M8+;FA Final,2,M2+;FA Final,2,M2+;FA Final,1,JM2-;FA Final,3,JM4-
Dimitrios SFAIROPOULOS	GRE	M	18 Apr 1981	1981	2001;2000	2000	2001	H1 Heat,3,BLM4-;FB Final,4,BLM4-
Romano SGHEIZ	ITA	M	28 Jun 1937	1937	1968;1964;1960;1956	1956	1968	F Final,4,M4+;F Final,5,M4-;F Final,3,M4+;F Final,1,M4+
Yongqing SHA	CHN	W	None	None	None	None	NoneNone
Rajanya SHAH	USA	W	16 Feb 1974	1974	2000;1999;1999;1998;1998;1997	1997	2000	FA Final,6,W8+;FA Final,2,W8+;FB Final,2,W8+;FA Final,2,W8+;FA Final,2,W8+;FA Final,6,W8+
Balazs SHAHOK	HUN	M	None	None	1990;1900	1900	1990	FC Final,1,JM4x;F Final,4,M4+
Alexei CHAIDOUK	RUS	M	14 Jan 1984	1984	2002;2001;2000;2000;1999	1999	2002	FB Final,4,JM8+;FA Final,2,JM8+;FA Final,2,JM8+;FA Final,4,BM8+;F Final,3,JM2+
Ahmad SHAKEEL	PAK	M	None	None	1995;1994	1994	1995	FD Final,6,JM2x;FE Final,6,JM1x
Vitaliy SHAKUROV	UKR	M	None	None	1998	1998	1998	FB Final,2,JM4x
Anatoli SHAMSHIN	RUS	M	None	None	1998;1997	1997	1998	FB Final,1,BM4-;FA Final,4,JM8+
Leonid SHAPOSHNYKOV	UKR	M	30 Oct 1969	1969	2005;2005;2005;2004;2003;2003;2003;2002;2002;2002;2002;2001;2001;2001;2000;2000;2000;1999;1999;1999;1998;1998;1998;1998;1997;1997;1997;1996;1995;1994;1993;1992;1991;1987	1987	2005	FB Final,4,M4x;FA Final,6,M4x;FA Final,6,M4x;FA Final,3,M4x;FC Final,1,M4x;FB Final,1,M4x;FB Final,1,M4x;FA Final,4,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,4,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,6,M4x;FB Final,1,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,6,M4x;FA Final,3,M4x;FB Final,1,M4x;FA Final,2,M4x;FA Final,3,M4x;FA Final,2,M4x;FA Final,3,M4x;FA Final,3,M4x;FA Final,6,M2x;FB Final,1,M4x;FA Final,4,M4x;FA Final,2,M4x;FA Final,2,M4x;FB Final,6,M2x;FA Final,2,M2x;FA Final,3,JM4x
Larisa SHARAY	UKR	W	None	None	1995	1995	1995	FA Final,3,JW8+
Peter SHARIS	USA	M	8 Jan 1969	1969	1992;1990;1989;1987	1987	1992	FA Final,6,M2-;FA Final,5,M8+;FA Final,4,M8+;FA Final,1,JM8+
Evgeni SHARONIN	UKR	M	9 Sep 1971	1971	1999;1998;1998;1997;1996;1995;1994;1993	1993	1999	FC Final,2,M4-;FD Final,1,M2-;FB Final,2,M4-;FA Final,5,M2+;FB Final,4,M8+;FB Final,2,M8+;FA Final,0,M8+;FB Final,2,M8+
Valentin SHATALOV	UKR	M	None	None	1998	1998	1998	FC Final,2,LM2-
Alison SHAW	USA	W	None	None	1993;1991	1991	1993	F Final,3,LW4-;F Final,3,LW4-
Thomas SHAW	RSA	M	None	None	1999;1998	1998	1999	F Final,6,M8+;FA Final,5,JM8+
Mohamed GOMAA	EGY	M	13 Nov 1981	1981	2009;2008;2008;2007;2006;2006;2006;2005;2005;2005;2004;2004;1995	1995	2009	FD Final,3,M1x;FB Final,6,M4-;FB Final,6,M4-;FB Final,6,M4x;FC Final,3,M4x;FC Final,4,M4-;FB Final,3,M2-;FC Final,2,M2-;FB Final,2,M8+;FA Final,5,M2-;FA Final,5,M8+;FB Final,3,M4-;FB Final,3,M4+
Ruslan SHCHABLINSKIY	UKR	M	None	None	2001;1997;1996;1995	1995	2001	H2 Heat,3,BM4x;FA Final,5,JM1x;FA Final,4,JM1x;FD Final,5,JM1x
Anthony SHEARING	CAN	M	4 Apr 1969	1969	1999;1999;1997;1997	1997	1999	FA Final,4,LM8+;F Final,2,LM8+;FA Final,3,LM8+;FB Final,2,LM4-
Barb SHEEHAN	CAN	W	None	None	1997	1997	1997	FA Final,5,JW8+
Carl SHEEHAN	NZL	M	8 Feb 1974	1974	1992	1992	1992	FB Final,5,M4+
Natanis SHEILS	CAN	W	None	None	1996	1996	1996	FA Final,5,W4-
Alexei SHELEV	RUS	M	None	None	1998	1998	1998	FC Final,2,JM2-
Stephen SHELLANS JR	USA	M	13 Jul 1960	1960	1992;1991;1986;1985	1985	1992	FB Final,2,M2+;FB Final,3,M2+;FB Final,3,M2+;FA Final,5,M2+
Hongfei SHEN	CHN	M	20 Oct 1971	1971	2001;2001;1990;1989	1989	2001	FB Final,2,LM4-;F Final,4,LM4-;FB Final,6,LM4x;FA Final,6,LM4x
Senping SHEN	CHN	W	None	None	1998	1998	1998	FA Final,4,LW4x
David SHEPHERD	NZL	M	None	None	1998;1997;1996;1995	1995	1998	FC Final,3,M2-;SA/B 1 Semifinal,2,BM4-;SA/B 1 Semifinal,4,BM4-;FB Final,4,BM8+
Robert SHEPHERD	USA	M	19 Apr 1965	1965	1992;1990;1989	1989	1992	FA Final,4,M8+;FB Final,3,M4-;FA Final,4,M8+
Dimitri SHERBAKOV	RUS	M	None	None	1989	1989	1989	FA Final,1,JM8+
Oksana SHERKASHINA	RUS	W	None	None	2000;1992	1992	2000	FB Final,3,W4-;FA Final,1,JW4x
Svetlana SHERKASHINA	RUS	W	None	None	1992	1992	1992	FA Final,1,JW4x
G. SHERKIN	CAN	M	None	None	1991	1991	1991	FB Final,1,JM4+
Kelly SHERMAN	USA	W	None	None	1992;1991	1991	1992	F Final,5,LW4-;F Final,3,LW4-
Uri SHERNETSKIJ	UKR	M	None	None	1996	1996	1996	FD Final,1,JM4x
SHERPAK	RUS	M	None	None	1989	1989	1989	FA Final,5,M8+
Svetlana SHESTOVA	BLR	W	None	None	1994	1994	1994	FA Final,5,W8+
Dimitri SHETYRKIN	RUS	M	None	None	1990	1990	1990	FA Final,6,JM8+
